absorbuoti, absorbúoja, absorbãvo
liautis, liáunasi, lióvėsi
lydėti, lỹdi, lydė́jo
lydyti, lýdo, lýdė
lydytis, lýdosi, lydė́si
liepsnoti, liepsnója, liepsnójo
liepti, liẽpia, liẽpė
liesti, liẽčia, liẽtė
lieti, líeja, líejo
lietuvinti, lietùvina, lietùvino
liežuvauti, liežuváuja, liežuvavo
lyginti, lýgina, lýgino
lignuoti, lingúoja, lingãvo
likti, liẽka, lìko
likviduoti, likvidúoja, likvidãvo
lindėti, liñdi, lindė́jo
linguoti, lingúoja, lingãvo
linkčioti, lìnkčioja, lìnkčiojo
linkėti, liñki, linkė́jo
linksėti, lìnksi, linksė́jo
linksmėti, linksmėja, linksmė́jo
linksminti, lìnksmina, lìnksmino
linksmintis, lìnksminasi, lìnksminosi
linksniuoti, linksniúoja, linksniãvo
linktelėti, lìnktelėja, lìnktelėjo
linkti, liñksta, liñko
lynoti, lynója, lynójo
lipdyti, lìpdo, lìpdė
lipti, lìpa, lìpo
lytėti, lýti, lytė́jo
lyti, lỹja, lìjo
liūdėti, liū̃di, liūdė́jo
liūdinti, liū̃dina, liū̃dino
liudyti, liùdija, liùdijo
lyžtelėti, lýžtelėja, lýžtelėjo
lopyti, lõpo, lopė̃
lošti, lõšia, lõšė
loti, lója, lójo
lukterėti, lukterėja, lùkterėjo
luošinti, lúošina, lúošino
lupti, lùpa, lùpo
lūžti, lū́žta, lū́žo
maigyti, máigo, máigė
mainyti, maĩno, maĩnė
maišyti, maĩšo, maĩšė
maištauti, maištáuja, maištãvo
maitinti, maitìna, maitìno
maitintis, maitìnasi, maitìnosi
maivytis, máivosi, máivėsi
maldauti, maldáuja, maldãvo
maldyti, mal̃do, mal̃dė
malonėti, malonė́ja, malonė́jo
malšinti, malšìna, malšìno
malti, mãla, mãlė
manipuliuoti, manipuliúoja, manipuliãvo
manyti, mãno, mãnė
mankštinti, mankštìna, mankštìno
mankštintis, mankštìnasi, mankštìnosi
marginti, márgina, márgino
marguliuoti, marguliúoja, marguliavo
marguoti, margúoja, margãvo
marinti, marinà, marìno
marinuoti, marinúoja, marinãvo
masažuoti, masažúoja, masažãvo
mąsyti, mą̃sto, mą̃stė
maskatuoti, maskatúoja, maskatãvo
mąstyti, mą̃sto, mą̃stė
masturbuotis, masturbuojasi, masturbavosi
maudyti, máudo, máudė
maudytis, máudosi, máudėsi
mauti, máuna, móvė
mautis, máunasi, móvėsi
mazgoti, mazgója, mazgójo
mažėti, mažė́ja, mažė́jo
mažinti, mãžina, mãžino
medituoti, meditúoja, meditãvo
medžioti, medžiója, medžiójo
mėgautis, mė́gaujasi, mė́gavosi
mėgdžioti, mė́gdžioja, mė́gdžiojo
mėginti, mėgìna, mėgìno
mėgti, mė́gsta, mė́go
megzti, mẽzga, mẽzgė
megztis, mẽzgasi, mẽzgėsi
meilikauti, meilikáuja, meilikãvo
meilintis, méilinasi, méilinosi
mėlynėti, mėlynėja, mėlynėjo
mėlyninti, mėlynina, mėlynino
mėlynuoti, mėlynúoja, mėlynãvo
melsti, mel̃džia, mel̃dė
melstis, mel̃džiasi, mel̃dėsi
melsvinti, melsvina, melsvino
meluoti, melúoja, melãvo
melžti, mélžia, mélžė
menkėti, menkė́ja, menkė́jo
menkinti, meñkina, meñkino
merkti, mérkia, mérkė
mesti, mẽta, mẽtė
meškerioti, meškeriója, meškeriójo
mėtyti, mė́to, mė́tė
mezgti, mẽzga, mẽzgė
mėžti, mė́žia, mė́žė
miaukti, miaũkia, miaũkė
miegoti,  miẽga,  miegójo
miešti, miẽšia, miẽšė
migdyti, mìgdo, mìgdė
migti, miñga, mìgo
mikčioti, mikčiója, mikčiójo
mykti, mỹkia, mỹkė
mylėti, mýli, mylė́jo
mylėtis, mýlisi, mylė́josi
myluoti, mylúoja, mylãvo
myluotis, mylúojasi, mylavosi
mindyti, mind, mìndė
minėti, minì, minė́jo
minkyti, mìnko, mìnkė
minti, minà, mýnė
mintyti, miñtija, miñtijo
mirgėti, mìrga, mirgė́jo
mirguliuoti, mirguliúoja, mirguliãvo
mirkčioti, mìrkčioja, mìrkčiojo
mirksėti, mìrksi, mirksė́jo
mirktelėti, mirktelėja, mìrktelėjo
mirkti, merka, mir̃ko
mirti, mìršta, mìrė
misti, miñta, mìto
myžti, myža, myžo
modifikuoti, modifikúoja, modifikãvo
mojuoti, mojúoja, mojãvo
mokėti, mokà, mokė́jo
mokinti, mokìna, mokìno
mokintis, mokìnasi, mokìnosi
mokyti, móko, mókė
mokytis, mókosi, mókėsi
mokytojauti, mokytojáuja, mokytojãvo
montuoti, montúoja, montãvo
mosikuoti, mosikúoja, mosikãvo
mosuoti, mosúoja, mosãvo
moti, mója, mójo
motyvuoti, motyvúoja, motyvãvo
mūkti, mū̃kia, mū̃kė
mūryti, mū́rija, mū́rijo
murkti, mur̃kia, mur̃kė
murmėti, mùrma, murmė́jo
mušinėti, mušinė́ja, mušinėjo
mušti, mùša, mùšė
muštis, mùšasi, mùšėsi
mutuoti, mutuoja, mutavo
muturiuoti, muturiuoja, muturiavo
mūvėti, mū̃vi, mūvė́jo
nagrinėti, nagrinė́ja, nagrinė́jo
naikinti, naikìna, naikìno
nakvoti, nakvója, nakvójo
nardyti, nárdo, nárdė
narplioti, nárplioja, nárpliojo
narstyti, nársto, nárstė
naršyti, nar̃šo, nar̃šė
naudoti, naudója, naudójo
naudotis, naudójasi, naudójosi
naujinti, naũjina, naujino
neabejoti, neabejója, neabejójo
neapkęsti, neapkeñčia, neàpkentė
nebepasikiškiakopūsteliauti, nebepasikiškiakopūsteliauja, nebepasikiškiakopūsteliavo
nebeprisikiškiakopūsteliauti, nebeprisikiškiakopūsteliauja, nebeprisikiškiakopūsteliavo
neigti, neĩgia, neĩgė
nekantrauti, nekantráuja, nekantrãvo
nekęsti, nekeñčia, nèkentė
nenuvilti, nenùvilia, nenuvýlė
nepaisyti, nepaĩso, nepaĩsė
neraminti, neramìna, neramìno
nerimauti, nerimáuja, nerimãvo
neršti, ner̃šia, ner̃šė
nerti, nẽria, nė́rė
nertis, nẽria, nė́rė
nervinti, nèrvina, nèrvino
nervintis, nèrvinasi, nèrvinosi
nešdintis, nẽšdinasi, nẽšdinosi
nėšėti, nėši, nėšėjo
nešioti, nešiója, nešiójo
nešiotis, nešiójasi, nešiójosi
nešiotis, nešiójasi, nešiójosi
nešti, nẽša, nẽšė
neštis, nẽšasi, nẽšėsi
netekti, neteñka, netẽko
neužmigti, neužmiẽga, neužmìgo
niekinti, niẽkina, niẽkino
niežėti, niẽžti, niežė́jo
nykti, nỹksta, nỹko
niokti, niokia, niokė
niršti, nir̃šta, nir̃šo
niūniuoti, niūniúoja, niūniãvo
nokti, nóksta, nóko
nominuoti, nominuoja, nominavo
norėti, nóri, norė́jo
norėtis, nórisi, norė́josi
obliuoti, obliúoja, obliãvo
obuoliauti, obuoliauja, obuoliavo
okupuoti, okupúoja, okupãvo
organizuoti, organizúoja, organizãvo
orientuoti, orientúoja, orientãvo
ošti, õšia, õšė
ožiuotis, ožiúojasi, ožiãvosi
pėdinti, pė̃dina, pė̃dino
peikti, peĩkia, peĩkė
pelnyti, pel̃no, pel̃nė
pelnytis, pel̃nosi, pel̃nėsi
pešioti, pešiója, pešiójo
pešti, pẽša, pẽšė
peštis, pẽšasi, pẽšėsi
piesti, piečia, pietė
piešti, piẽšia, piẽšė
pietauti, pietáuja, pietãvo
pigti, piñga, pìgo
pykdyti, pýkdo, pýkdė
pykinti, pỹkina, pỹkino
pykti, pỹksta, pỹko
piktinti, pìktina, pìktino
pyktis, pỹkstasi, pỹkosi
piktnaudžiauti, piktnaudžiáuja, piktnaudžiãvo
pildyti, pìldo, pìldė
pildytis, pìldosi, pìldėsi
pilkuoti, pilkúoja, pilkãvo
pilti, pìla, pýlė
piltis, pìla, pýlė
pinti, pìna, pynė̃
pypsėti, pýpsi, pypsė́jo
pypsinti, pypsina, pypsino
piratauti, piratáuja, piratãvo
pirkinėti, pirkinėja, pirkinė́jo
pirkti, per̃ka, pir̃ko
pirktis, per̃ka, pir̃ko
pirmauti, pirmáuja, pirmãvo
pirstelėti, pirstelėja, pirstelė́jo
piršti, per̃ša, pir̃šo
pirštis, per̃šasi, pir̃šosi
pisti, pisa, piso
pistis, pisasi, pisosi
pyškėti, pýška, pyškė́jo
pjaustyti, pjáusto, pjáustė
pjauti, pjáuna, pjóvė
plakti, plãka, plãkė
plaktis, plãka, plãkė
planiruoti, planiruoja, planiravo
planuoti, planúoja, planãvo
plasnoti, plasnója, plasnójo
platinti, platinà, plãtino
plaukioti, pláukioja, pláukiojo
plaukyti, pláuko, plaũkė
plaukti, plaũkia, plaũkė
plauti, pláuna, plóvė
plautis, pláunasi, plóvėsi
pleiskanoti, pleiskanója, pleiskanojo
plepėti, plẽpa, plepė́jo
plėpėti, plẽpa, plepė́jo
plėsti, plẽčia, plė̃tė
plėstis, plẽčiasi, plė̃tėsi
plėšikauti, plėšikáuja, plėšikãvo
plėšyti, plė́šo, plė́šė
plėšytis, plė́šo, plė́šė
pleškėti, plẽška, pleškė́jo
plėšti, plẽška, pleškė́jo
plėtoti, plėtója, plėtójo
pleventi, plevẽna, plevẽno
plevėsuoti, plevėsúoja, plevėsãvo
pliaukšti, pliaũškia, pliaũškė
plikyti, plìko, plìkė
plisti, pliñta, plìto
plyšoti, plýšo, plýšojo
plyšti, plýšta, plýšo
pliumptelėti, pliumptelėja, pliùmptelėjo
pliurpti, pliur̃pia, pliur̃pė
plonėti, plonė́ja, plonė́jo
ploti, plója, plójo
plūduriuoti, plū̃duriuoja, plū̃duriavo
plukdyti, plùkdo, plùkdė
plūktis, plū̃kiasi, plū̃kėsi
plūsti, plū̃kiasi, plū̃kėsi
plūstis, plū́stasi, plū́dosi
plušti, plūšta, plùšo
poilsiauti, poilsiáuja, poilsiãvo
pokštauti, pókštauja, pókštavo
pokštelėti, pokštelėja, pókštelėjo
pompuoti, pompuoja, pompavo
populiarėti, populiarė́ja, populiarė́jo
posėdžiauti, posėdžiáuja, posėdžiãvo
pozuoti, pozúoja, pozãvo
prekiauti, prekiáuja, prekiãvo
prenumeruoti, prenumerúoja, prenumerãvo
prognozuoti, prognozúoja, prognozãvo
programuoti, programúoja, programãvo
protestuoti, protestúoja, protestãvo
puikuotis, puikúojasi, puikãvosi
pūkšti, pūška, pūškė
puldinėti, puldinė́ja, puldinė́jo
pūliuoti, pūliúoja, pūliãvo
pulsuoti, pulsúoja, pulsãvo
pulti, púola, púolė
pumpuoti, pumpúoja, pumpãvo
puoselėti, púoselėja, púoselėjo
puošti, puõšia, puõšė
puoštis, puõšia, puõšė
purenti, purẽna, purẽno
purkšti, pur̃škia, pur̃škė
purti, pūra, pùro
purtyti, pùrto, pùrtė
purtytis, pùrtosi, pùrtėsi
purvinti, purvinà, pur̃vino
pūsti, pùčia, pū̃tė
pūstis, pùčiasi, pū̃tėsi
pustyti, pùsto, pùstė
pūškuoti, pūškúoja, pūškãvo
pūti, pū̃va, pùvo
putoti, putója, putójo
ragauti, ragáuja, ragãvo
raginti, rãgina, rãgino
raiyti, raĩto, raĩtė
raikyti, raĩko, raĩkė
raityti, raĩto, raĩtė
raitytis, raĩtosi, raĩtėsi
raitoti, raitoja, raitójo
raitotis, raitoja, raitójo
raižioti, raižioja, raižiojo
raižyti, ráižo, raĩžė
rakinti, rakìna, rakìno
raminti, ramìna, ramìno
ramintis, ramìnasi, ramìnosi
ramstytis, ram̃stosi, ram̃stėsi
rangyti, rángo, rañgė
rangytis, rañgosi, rañgėsi
rankyti, ranko, rankė
rasoti, rasója, rasójo
rasti, rañda, rãdo
rastis, rañdasi, rãdosi
rašinėti, rašinė́ja, rašinė́jo
rašyti, rãšo, rãšė
rašytis, rãšosi, rãšėsi
raudonėti, raudonėja, raudonėjo
raudoninti, raudonina, raudonino
raudonuoti, raudonúoja, raudonãvo
raudoti, raudà, raudójo
rauginti, raugìna, raugìno
raugti, ráugia, ráugė
raukšlėti, raukšlė́ja, raukšlė́jo
raukšlėtis, raukšlė́jasi, raukšlėjosi
raukti, raũkia, raũkė
rausti, raustà, raũdo
raustis, raũsiasi, raũsėsi
rausvinti, raũsvina, raũsvino
rauti, ráuna, róvė
rąžytis, rą̃žosi, rą̃žėsi
reaguoti, reagúoja, reagãvo
realizuoti, realizúoja, realizãvo
redaguoti, redagúoja, redagãvo
regėti, rẽgi, regė́jo
registruoti, registrúoja, registrãvo
registruotis, registrúojasi, registrãvosi
regulioti, reguliúoja, reguliãvo
reguliuoti, reguliúoja, reguliãvo
regzti, rẽzga, rẽzgė
reikalauti, reikaláuja, reikalãvo
reikėti, reĩkia, reikė́jo
reikšti, réiškia, réiškė
reikštis, réiškiasi, réiškėsi
reikti, reĩkia, reĩkė
rėkauti, rė́kauja, rė́kavo
reklamuoti, reklamúoja, reklamãvo
reklamuotis, reklamúojasi, reklamãvosi
rekomenduoti, rekomendúoja, rekomendãvo
rekonstruoti, rekonstrúoja, rekonstrãvo
rėkti, rė̃kia, rė̃kė
remontuoti, remontúoja, remontãvo
remti, rẽmia, rė̃mė
remtis, rẽmiasi, remėsi
rengti, reñgia, reñgė
rengtis, reñgiasi, reñgėsi
repečkoti, repečkoja, repečkójo
repetuoti, repetúoja, repetãvo
restauruoti, restaurúoja, restaurãvo
ręsti, reñčia, reñtė
retinti, rẽtina, rẽtino
revizuoti, revizúoti, revizúoja
rezervuoti, rezervúoja, rezervãvo
rezervuotis, rezervúoja, rezervãvo
režisuoti, režisúoja, režisãvo
rėžyti, rė̃žo, rė̃žė
rėžti, rė́žia, rė̃žė
riaumoti, riaumója, riaumójo
riboti, ribója, ribójo
ridenti, ridẽna, ridẽno
ridėti, ridà, ridėjo
riebinti, riebina, ríebino
riedėti, riẽda, riedė́jo
riekti, riẽkia, riekė̃
riesti, riẽčia, riẽtė
riestis, riẽčiasi, riẽtėsi
rieti, rieja, riejo
rietis, ríejasi, ríejosi
rikiuoti, rikiúoja, rikiãvo
rikiuotis, rikiúojasi, rikiãvosi
rimuoti, rimúoja, rimãvo
rimuotis, rimúojasi, rimavosi
rinkti, reñka, riñko
rinktis, reñkasi, riñkosi
risnoti, risnója, risnójo
risti, rìta, rìto
ristis, rìtasi, rìtosi
ryšėti, rỹši, ryšė́jo
ryškėti, ryškė́ja, ryškė́jo
ryti, rỹja, rìjo
rizikuoti, rizikúoja, rizikãvo
ryžtis, rýžtasi, rýžosi
rodyti, ròdo, ródė
rodytis, ródosi, ródėsi
rokuotis, rokuojasi, rokavosi
ropoti, ropója, ropójo
ropoto, ropója, ropójo
rūdyti, rūdìja, rūdìjo
rūgti, rū́gsta, rū́go
rūkyti, rū̃ko, rū̃kė
rūkti, rū̃ksta, rū̃ko
rungtyniauti, rungtyniáuja, rungtyniãvo
rungtis, rùngiasi, rùngėsi
ruošti, ruõšia, ruõšė
ruoštis, ruõšiasi, ruõšėsi
rūpėti, rū̃pi, rupė́jo
rūpinti, rū́pina, rū́pino
rūpintis, rū́pinasi, rū́pinosi
rupti, rum̃pa, rùpo
rusenti, rusẽna, rusẽno
rusinti, rùsina, rùsino
rūstauti, rū́stauja, rū́stavo
rūšiuoti, rūšiúoja, rūšiãvo
sabotuoti, sabotúoja, sabotãvo
sakinėti, sakinėja, sakinėjo
sakyti, sãko, sãkė
samdyti, sam̃do, sam̃dė
sandėliuoti, sandėliúoja, sandėliãvo
santykiauti, santykiáuja, sántykiavo
saugoti, sáugoja, sáugojo
saugotis, saugojasi, sáugojosi
savinti, savinti, sãvina
sėdėti, sė́di, sėdė́jo
segti, sẽga, sẽgė
segtis, sẽgasi, sẽgėsi
seilėtis, seilė́jasi, seilė́josi
sekinti, sẽkina, sẽkino
sekioti, sekiója, sekiójo
sekti, señka, sẽko
sekti, señka, sẽko
sektis, sẽkasi, sẽkėsi
semti, sẽmia, sėmė̃
semtis, sẽmiasi, sė́mėsi
senti, sénsta, sèno
sergėti, sérgėja, sérgėjo
sėsti, sė́da, sė́do
sėstis, sė́dasi, sė́dosi
sėti, sėjà, sė́jo
siaurėti, siaurė́ja, siaurė́jo
siausti, siaũčia, siaũtė
siautėti, siáutėja, siáutėjo
sidabruoti, sidabrúoja, sidabrãvo
siekti, síekia, síekė
sielotis, síelojasi, síelojosi
sielvartauti, sielvartáuja, sielvartãvo
sieti, síeja, síejo
sietis, síejasi, síejosi
sijoti, sijója, sijójo
silpnėti, silpnė́ja, silpnė́jo
silpninti, sil̃pnina, sil̃pnino
sirgi, ser̃ga, sir̃go
sirgti, ser̃ga, sir̃go
sysioti, sysioja, sysiojo
siūbtelėti, siūbtelėja, siū́btelėjo
siūbtelti, siū́bteli, siū́btelėjo
siūlyti, siū́lo, siū́lė
siūlytis, siū́lo, siū́lė
siurbti, siur̃bia, siur̃bė
siusti, siuntà, siùto
siųsti, siuñčia, nùsiuntė
siųstis, siuñčiasi, siuntėsi
siūti, siùva, siùvo
siuvinėti, siuvinė́ja, siuvinė́jo
skabyti, skãbo, skãbė
skaičiuoti, skaičiúoja, skaičiãvo
skaidyti, skáido, skáidė
skaityti, skaĩto, skaĩtė
skaitytis, skaĩtosi, skaĩtėsi
skalauti, skaláuja, skalãvo
skalbti, skal̃bia, skal̃bė
skalbtis, skal̃biasi, skal̃bėsi
skaldyti, skáldo, skáldė
skambėti, skam̃ba, skambė́jo
skambinti, skam̃bina, skam̃bino
skanauti, skanáuja, skanãvo
skandinti, skandìna, skandìno
skandintis, skandìna, skandìno
skanduoti, skandúoja, skandãvo
skaninti, skãnina, skãnino
skatinti, skãtina, skãtino
skaudėti, skaũda, skaudė́jo
skaudinti, skaũdina, skaũdino
skaudintis, skaũdina, skaũdino
skelbti, skélbia, skélbė
skelbtis, skélbia, skélbė
skelti, skẽlia, skė́lė
skenuoti, skenuoja, skenavo
skeryčioti, skeryčiója, skeryčiójo
skersti, sker̃džia, sker̃dė
skėsčioti, skė́sčioja, skė́sčiojo
skęsti, skė́sčioja, skė́sčiojo
skėsti, skẽčia, skė̃tė
skiepyti, skiẽpija, skiẽpijo
skiepytis, skiẽpijasi, skiẽpijosi
skiesti, skíedžia, skíedė
skilti, skỹla, skìlo
skinti, skìna, skýnė
skirstyti, skìrsto, skìrstė
skirstytis, skìrstosi, skìrstėsi
skirti, skìria, skýrė
skirtis, skìriasi, skýrėsi
sklaidyti, sklaĩdo, sklaĩdė
sklaidytis, sklaĩdosi, sklaĩdėsi
skleisti, skleĩdžia, skleĩdė
skleistis, skleĩdžiasi, skleĩdėsi
sklęsti, skleñdžia, sklendė̃
sklisti, skliñda, sklìdo
skolinti, skõlina, skõlino
skolintis, skõlinasi, skõlinosi
skraidinti, skraidìna, skraidìno
skraidyti, skraĩdo, skraĩdė
skrepliuoti,  skrepliúoja,  skrepliãvo
skriausti, skriaũdžia, skriaũdė
skrieti, skríeja, skríejo
skristi, skreñda, skrìdo
skrosti, skródžia, skrõdė
skrudinti, skrudina, skrùdino
skubėti, skùba, skubė́jo
skubinti, skubinà, skùbino
skubintis, skùbinasi, skùbinosi
skursti, skur̃sta, skur̃do
skųsti, skur̃sta, skur̃do
skusti, skùta, skùto
skųstis, skundžiasi, skùtosi
skustis, skùtasi, skùtosi
skutinėti, skutinėja, skutinėjo
slankinti, slankina, slankino
slankioti, slánkioja, slánkiojo
slapstyti, slãpstosi, slãpstėsi
slaugyti, slaũgo, slaũgė
slėgti, slẽgia, slė̃gė
slėpti, slẽpia, slė̃pė
slėptis, slẽpia, slė̃pė
slidinėti, slidinė́ja, slidinė́jo
slinkti, sleñka, sliñko
slinktis, sleñkasi, sliñkosi
slypėti, slỹpi, slypė́jo
slystelėti, slystelėja, slýstelėjo
slysti, slýsta, slýdo
sloguoti, slogúoja, slogãvo
slopinti, slopìna, slopìno
slūgti, slū́gsta, slū́go
smaguriauti, smaguriáuja, smaguriãvo
smaigyti, smaĩgo, smaĩgė
smaigstyti, smaĩgsto, smaĩgstė
smaližiauti, smaližiáuja, smaližiãvo
smaugti, smáugia, smáugė
smaukyti, smaũko, smaũkė
smaukti, smaũkia, smaũkė
smeigti, smeĩgia, smeigė̃
smerkti, smer̃kia, smer̃kė
smigti, smiñga, smìgo
smirdėti, smìrdi, smirdė́jo
smogti, smõgia, smõgė
smūgiuoti, smūgiúoja, smūgiãvo
smukdyti, smùkdo, smùkdė
smukti, smuñka, smùko
smulkinti, smùlkina, smùlkino
snausti, snáudžia, snáudė
snerkšti, šnerkščia, šnirkštė
snieguoti, snieguoja, sniegavo
snigti, sniñga, snìgo
sodinti, sodìna, sodìno
sotinti, sótina, sótino
spėlioti, spėliója, spėliójo
spęsti, spéndžia, spéndė
spęstis, spendžiasi, spendėsi
spėti, spė́ja, spė́jo
spiegti, spiẽgia, spiẽgė
spygauti, spýgauja, spýgavo
spindėti, spiñdi, spindė́jo
spinduliuoti, spinduliúoja, spinduliãvo
spirti, spìria, spýrė
spisti, spìnta, spito
spjaudyti, spaũdo, spjáudė
spjauti, spjáuna, spjóvė
spoksoti, spõkso, spoksójo
sportuoti, sportúoja, sportãvo
spręsti, spréndžia, spréndė
spręstis, spréndžia, spréndė
sprogdinti, sprogdìna, sprogdìno
sprogti, sprógsta, sprógo
sprukti, spruñka, sprùko
spustelėti, spustelėja, spùstelėjo
srėbti, srėbia, srė̃bė
sriuobti, sriuobia, sriuobė
stabdyti, stãbdo, stãbdė
stambėti, stambė́ja, stambė́jo
stambinti, stam̃bina, stam̃bino
statyti, stãto, stãtė
statytis, stãto, stãtė
staugti, stáugia, stáugė
stebėti, stẽbi, stebė́jo
stebėtis, stẽbisi, stebė́josi
stebinti, stẽbina, stẽbino
steigti, steĩgia, steĩgė
steigtis, steĩgiasi, steĩgėsi
stenėti, steĩgiasi, steĩgėsi
stengtis, sténgiasi, sténgėsi
stiebtis, stiẽbiasi, stiẽbėsi
stigti, stiñga, stìgo
stingti, stìngsta, stìngo
stiprėti, stiprė́ja, stiprė́jo
stiprinti, stìprina, stìprino
stypsoti, stỹpso, stypsójo
stipti, stim̃pa, stìpo
stirksoti, stir̃kso, stirksójo
styroti, stýro, stýrojo
stodinėti, stodinėja, stodinėjo
stokoti, stokója, stokójo
storėti, storė́ja, storė́jo
storinti, stórina, stórino
stoti, stója, stójo
stotis, stójasi, stójosi
stovėti, stóvi, stovė́jo
stovyklauti, stovykláuja, stovyklãvo
stovinėti, stovinėja, stovinė́jo
stoviniuoti, stoviniúoja, stoviniãvo
streikuoti, streikúoja, streikãvo
stresuoti, sttresuoja, stresavo
strikinėti, strikinė́ja, strikinė́jo
strykinėti, strykinė́ja, strykinė́jo
stryktelėti, stryktelėja, strýktelėjo
studentauti, stryktelėja, strýktelėjo
studijuoti, studijúoja, studijãvo
stulbinti, stul̃bina, stul̃bino
stumdytis, stùmdosi, stùmdėsi
stūmėti, stūmi, stūmėjo
stumtelėti, stumtelėja, stùmtelėjo
stumti, stùmia, stū́mė
stverti, stvẽria, stvė́rė
sūdyti, sū́do, sū́dė
sūpuoti, sūpúoja, sūpãvo
svaidyti, sváido, sváidė
svaigti, svaĩgsta, svaĩgo
svajoti, svajója, svãjojo
svarstyti, svar̃sto, svar̃stė
svečiuotis, svečiúojasi, svečiãvosi
sveikinti, svéikina, svéikino
sveikintis, svéikinasi, svéikinosi
sveikti, sveĩksta, sveĩko
sverti, svẽria, svė̃rė
sviesti, svíedžia, svíedė
svilinti, svìlina, svìlino
svilti, svylà, svìlo
svirti, svỹra, svìro
svyruoti, svyrúoja, svyrãvo
šaipytis, šaĩposi, šaĩpėsi
šaldyti, šáldo, šáldė
šalinti, šãlina, šãlino
šalti, šą̃la, šãlo
šantažuoti, šantažúoja, šantažãvo
šaudyti, šáudo, šáudė
šaukti, šaũkia, šaũkė
šauktis, šaũkiasi, šaũkėsi
šauti, šáuna, šóvė
šeimininkauti, šeimininkáuja, šeimininkãvo
šėlioti, šėliója, šėliójo
šėlti, šė̃lsta, šė̃lo
šerkšnyti, šerkšnija, šerkšnijo
šerti, šẽria, šėrė̃
šiaušti, šẽria, šėrė̃
šiauštis, šiáušiasi, šiáušėsi
šieptis, šiepasi, šiẽpėsi
šieti, šiepasi, šiẽpėsi
šykštėti, šykštì, šykštė́jo
šikti, šika, šiko
šildyti, šìldo, šìldė
šildytis, šìldosi, šìldėsi
šilti, šỹla, šìlo
šypsotis, šỹpsosi, šypsójosi
šyptelėti, šýptelėja, šýptelėjo
širsti, šir̃sta, šir̃do
šiurkšti, šiurkščià, šiurkštė
šlamėti, šlãma, šlamė́jo
šlapinti, šlãpina, šlãpino
šlapintis, šlãpinasi, šlãpinosi
šlapti, šlam̃pa, šlãpo
šlempinti, šlem̃pinti, šlempino
šlepsėti, šlèpsi, šlepsė́jo
šliaužti, šliaũžia, šliaũžė
šlieti, šlíeja, šlíejo
šlovinti, šlóvina, šlóvino
šluostyti, šlúosto, šluõstė
šluostytis, šlúostosi, šlúostėsi
šluoti, šlúoja, šlãvė
šmeižti, šmeĩžia, šmeĩžė
šnabždėti, šnãbžda, šnabždė́jo
šnekėti, šnekà, šnekė́jo
šnekėtis, šnẽkasi, šnekė́josi
šnekinti, šnẽkina, šnẽkino
šnektelėti, šnektelėja, šnèktelėjo
šnektelti, šnèkteli, šnèktelėjo
šnekučiuotis, šnekučiúojasi, šnekučiãvosi
šnerpšti, šnerpščia, šnir̃pštė
šnibždėti, šnìbžda, šnibždė́jo
šniypšti, šnỹpščia, šnỹpštė
šniokšti, šniõkščia, šniõkštė
šnipinėti, šnipinė́ja, šnipinė́jo
šnypšti, šnỹpščia, šnypstė
šniukštinėti, šniukštelėja, šniùkštelėjo
šokinėti, šokinė́ja, šokinė́jo
šokiruoti, šokirúoja, šokirãvo
šokti, šóka, šòko
šokuoti, šokúoja, šokãvo
šturmuoti, šturmúoja, šturmãvo
šūkauti, šū́kauja, šūkãvo
šukuoti, šukúoja, šukãvo
šukuotis, šukúojasi, šukãvosi
šuoliuoti, šuoliúoja, šuoliãvo
šurmuliuoti, šurmuliúoja, šurmuliãvo
šusti, šuñta, šùto
švaistyti, švaĩsto, švaĩstė
švarinti, švãrina, švãrino
švartuotis, švartúojasi, švartãvosi
šveisti, šveĩčia, šveĩtė
švelninti, švel̃nina, švel̃nino
šventinti, švéntina, švéntino
švesti, šveñčia, šveñtė
švęsti, šveñčia, šveñtė
šviesėti, šviesė́ja, šviesė́jo
šviesinti, šviẽsina, šviẽsino
šviesti, šviẽsina, šviẽsino
švilpauti, švìlpauja, švìlpavo
švilptelėti, švilptelėja, švìlptelėjo
švilpti, švil̃pia, švil̃pė
švisti, šviñta, švìto
švytėti, švỹti, švytė́jo
švokšti, švõkščia, švõkštė
taikyti, táiko, táikė
taikytis, táikosi, táikėsi
taisyti, taĩso, taĩsė
taisytis, taĩsosi, taĩsėsi
talpinti, talpìna, talpìno
tampyti, tam̃po, tam̃pė
tampytis, tam̃posi, tam̃pėsi
tamsėti, tamsė́ja, tamsė́jo
tamsinti, támsina, támsino
tankinti, tánkina, tankino
tardyti, tárdo, tárdė
tarkuoti, tarkúoja, tarkãvo
tarnauti, tarnáuja, tarnãvo
tarpininkauti, tarpininkáuja, tarpininkãvo
tarti, tãria, tãrė
tartis, tãriasi, tãrėsi
tašyti, tãšo, tãšė
taškyti, tãško, tãškė
taškytis, tãškosi, tãškėsi
taukšti, taũškia, taũškė
taupyti, taũpo, taũpė
tausoti, tausója, tausójo
tebebūti, tebebū̃na, tebebùvo
teigti, teĩgia, teĩgė
teikti, teĩkia, teĩkė
teiktis, teĩkiasi, teĩkėsi
teirautis, teiráujasi, teirãvosi
teisinti, téisina, téisino
teisintis, téisina, téisino
teisti, teĩsia, téisė
tekėti, tẽka, tekė́jo
tekinti, tekinà, tẽkino
tekti, teñka, tẽko
